id,sales
0,14
1,15
2,15
3,16
4,17
5,19
6,20
7,14
8,15
9,15
10,16
11,17
12,19
13,20
14,14
15,15
16,15
17,16
18,17
19,19
20,20
21,14
22,15
23,15
24,16
25,17
26,19
27,20
28,14
29,15
30,15
31,17
32,18
33,20
34,21
35,15
36,16
37,16
38,17
39,18
40,20
41,21
42,15
43,16
44,16
45,17
46,18
47,20
48,21
49,15
50,16
51,16
52,17
53,18
54,20
55,21
56,15
57,16
58,16
59,19
60,21
61,22
62,23
63,16
64,19
65,19
66,20
67,21
68,22
69,23
70,16
71,19
72,19
73,20
74,21
75,22
76,23
77,16
78,19
79,19
80,20
81,21
82,22
83,23
84,16
85,19
86,19
87,20
88,21
89,22
90,19
91,21
92,21
93,22
94,24
95,26
96,28
97,20
98,21
99,21
100,22
101,24
102,26
103,28
104,20
105,21
106,21
107,22
108,24
109,26
110,28
111,20
112,21
113,21
114,22
115,24
116,26
117,28
118,20
119,21
120,21
121,23
122,25
123,27
124,29
125,21
126,22
127,22
128,24
129,25
130,27
131,29
132,21
133,22
134,22
135,24
136,25
137,27
138,29
139,21
140,22
141,22
142,24
143,25
144,27
145,29
146,21
147,22
148,22
149,26
150,29
151,31
152,32
153,23
154,26
155,26
156,28
157,29
158,31
159,32
160,23
161,26
162,26
163,28
164,29
165,31
166,32
167,23
168,26
169,26
170,28
171,29
172,31
173,32
174,23
175,26
176,26
177,28
178,29
179,31
180,16
181,18
182,18
183,20
184,21
185,23
186,25
187,16
188,19
189,18
190,20
191,21
192,23
193,25
194,16
195,19
196,18
197,20
198,21
199,23
200,25
201,16
202,19
203,18
204,20
205,21
206,23
207,25
208,16
209,19
210,18
211,20
212,22
213,24
214,26
215,17
216,20
217,20
218,21
219,22
220,24
221,26
222,17
223,20
224,20
225,21
226,22
227,24
228,26
229,17
230,20
231,20
232,21
233,22
234,24
235,26
236,17
237,20
238,20
239,23
240,25
241,27
242,29
243,19
244,23
245,23
246,24
247,26
248,27
249,29
250,19
251,23
252,23
253,24
254,26
255,27
256,29
257,19
258,23
259,23
260,24
261,26
262,27
263,29
264,19
265,23
266,23
267,24
268,26
269,27
270,15
271,17
272,17
273,18
274,19
275,21
276,23
277,15
278,17
279,17
280,18
281,19
282,21
283,23
284,15
285,17
286,17
287,18
288,19
289,21
290,23
291,15
292,17
293,17
294,18
295,19
296,21
297,23
298,15
299,17
300,17
301,19
302,21
303,22
304,24
305,16
306,18
307,18
308,19
309,21
310,22
311,24
312,16
313,18
314,18
315,19
316,21
317,22
318,24
319,16
320,18
321,18
322,19
323,21
324,22
325,24
326,16
327,18
328,18
329,22
330,24
331,25
332,26
333,18
334,21
335,21
336,23
337,24
338,25
339,26
340,18
341,21
342,21
343,23
344,24
345,25
346,26
347,18
348,21
349,21
350,23
351,24
352,25
353,26
354,18
355,21
356,21
357,23
358,24
359,25
360,11
361,12
362,12
363,13
364,14
365,15
366,16
367,11
368,12
369,12
370,13
371,14
372,15
373,16
374,11
375,12
376,12
377,13
378,14
379,15
380,16
381,11
382,12
383,12
384,13
385,14
386,15
387,16
388,11
389,12
390,12
391,14
392,15
393,16
394,17
395,12
396,13
397,13
398,14
399,15
400,16
401,17
402,12
403,13
404,13
405,14
406,15
407,16
408,17
409,12
410,13
411,13
412,14
413,15
414,16
415,17
416,12
417,13
418,13
419,15
420,17
421,18
422,19
423,13
424,15
425,15
426,16
427,17
428,18
429,19
430,13
431,15
432,15
433,16
434,17
435,18
436,19
437,13
438,15
439,15
440,16
441,17
442,18
443,19
444,13
445,15
446,15
447,16
448,17
449,18
450,11
451,12
452,12
453,13
454,14
455,15
456,17
457,11
458,12
459,12
460,13
461,14
462,15
463,17
464,11
465,12
466,12
467,13
468,14
469,15
470,17
471,11
472,12
473,12
474,13
475,14
476,15
477,17
478,11
479,12
480,12
481,13
482,15
483,16
484,17
485,12
486,13
487,13
488,14
489,15
490,16
491,17
492,12
493,13
494,13
495,14
496,15
497,16
498,17
499,12
500,13
501,13
502,14
503,15
504,16
505,17
506,12
507,13
508,13
509,16
510,17
511,18
512,19
513,13
514,15
515,15
516,16
517,17
518,18
519,19
520,13
521,15
522,15
523,16
524,17
525,18
526,19
527,13
528,15
529,15
530,16
531,17
532,18
533,19
534,13
535,15
536,15
537,16
538,17
539,18
540,10
541,11
542,11
543,12
544,13
545,14
546,15
547,10
548,11
549,11
550,12
551,13
552,14
553,15
554,10
555,11
556,11
557,12
558,13
559,14
560,15
561,10
562,11
563,11
564,12
565,13
566,14
567,15
568,10
569,11
570,11
571,12
572,13
573,14
574,15
575,10
576,12
577,12
578,13
579,14
580,14
581,15
582,10
583,12
584,12
585,13
586,14
587,14
588,15
589,10
590,12
591,12
592,13
593,14
594,14
595,15
596,10
597,12
598,12
599,14
600,15
601,16
602,17
603,12
604,14
605,14
606,15
607,15
608,16
609,17
610,12
611,14
612,14
613,15
614,15
615,16
616,17
617,12
618,14
619,14
620,15
621,15
622,16
623,17
624,12
625,14
626,14
627,15
628,15
629,16
630,17
631,19
632,19
633,21
634,23
635,25
636,27
637,17
638,20
639,19
640,21
641,23
642,25
643,27
644,17
645,20
646,19
647,21
648,23
649,25
650,27
651,17
652,20
653,19
654,21
655,23
656,25
657,27
658,17
659,20
660,19
661,22
662,24
663,26
664,28
665,18
666,21
667,21
668,23
669,25
670,26
671,28
672,18
673,21
674,21
675,23
676,25
677,26
678,28
679,18
680,21
681,21
682,23
683,25
684,26
685,28
686,18
687,21
688,21
689,25
690,28
691,30
692,31
693,21
694,25
695,25
696,27
697,28
698,30
699,31
700,21
701,25
702,25
703,27
704,28
705,30
706,31
707,21
708,25
709,25
710,27
711,28
712,30
713,31
714,21
715,25
716,25
717,27
718,28
719,30
720,15
721,18
722,18
723,19
724,20
725,21
726,23
727,15
728,18
729,18
730,19
731,20
732,21
733,23
734,15
735,18
736,18
737,19
738,20
739,21
740,23
741,15
742,18
743,18
744,19
745,20
746,21
747,23
748,15
749,18
750,18
751,19
752,21
753,23
754,24
755,16
756,19
757,18
758,19
759,21
760,23
761,24
762,16
763,19
764,18
765,19
766,21
767,23
768,24
769,16
770,19
771,18
772,19
773,21
774,23
775,24
776,16
777,19
778,18
779,22
780,24
781,25
782,27
783,18
784,21
785,21
786,23
787,24
788,26
789,27
790,18
791,21
792,21
793,23
794,24
795,26
796,27
797,18
798,21
799,21
800,23
801,24
802,26
803,27
804,18
805,21
806,21
807,23
808,24
809,26
810,15
811,19
812,19
813,20
814,21
815,23
816,24
817,16
818,19
819,19
820,20
821,21
822,23
823,24
824,16
825,19
826,19
827,20
828,21
829,23
830,24
831,16
832,19
833,19
834,20
835,21
836,23
837,24
838,16
839,19
840,19
841,20
842,22
843,24
844,26
845,16
846,20
847,20
848,21
849,22
850,24
851,26
852,16
853,20
854,20
855,21
856,22
857,24
858,26
859,16
860,20
861,20
862,21
863,22
864,24
865,26
866,16
867,20
868,20
869,23
870,25
871,27
872,29
873,19
874,23
875,23
876,24
877,26
878,27
879,29
880,19
881,23
882,23
883,24
884,26
885,27
886,29
887,19
888,23
889,23
890,24
891,26
892,27
893,29
894,19
895,23
896,23
897,24
898,26
899,27
900,36
901,41
902,41
903,43
904,46
905,49
906,53
907,36
908,41
909,41
910,43
911,46
912,49
913,53
914,36
915,41
916,41
917,43
918,46
919,49
920,53
921,36
922,41
923,41
924,43
925,46
926,49
927,53
928,36
929,41
930,41
931,45
932,48
933,52
934,55
935,38
936,44
937,43
938,46
939,49
940,52
941,55
942,38
943,44
944,43
945,46
946,49
947,52
948,55
949,38
950,44
951,43
952,46
953,49
954,52
955,55
956,38
957,44
958,43
959,50
960,55
961,58
962,61
963,43
964,50
965,50
966,53
967,56
968,58
969,61
970,43
971,50
972,50
973,53
974,56
975,58
976,61
977,43
978,50
979,50
980,53
981,56
982,58
983,61
984,43
985,50
986,50
987,53
988,56
989,58
990,50
991,57
992,57
993,61
994,66
995,71
996,77
997,51
998,58
999,57
1000,61
1001,66
1002,71
1003,77
1004,51
1005,58
1006,57
1007,61
1008,66
1009,71
1010,77
1011,51
1012,58
1013,57
1014,61
1015,66
1016,71
1017,77
1018,51
1019,58
1020,57
1021,64
1022,70
1023,75
1024,80
1025,54
1026,62
1027,61
1028,65
1029,70
1030,75
1031,80
1032,54
1033,62
1034,61
1035,65
1036,70
1037,75
1038,80
1039,54
1040,62
1041,61
1042,65
1043,70
1044,75
1045,80
1046,54
1047,62
1048,61
1049,72
1050,79
1051,84
1052,88
1053,61
1054,71
1055,71
1056,76
1057,80
1058,84
1059,88
1060,61
1061,71
1062,71
1063,76
1064,80
1065,84
1066,88
1067,61
1068,71
1069,71
1070,76
1071,80
1072,84
1073,88
1074,61
1075,71
1076,71
1077,76
1078,80
1079,84
1080,45
1081,51
1082,51
1083,54
1084,57
1085,63
1086,68
1087,46
1088,51
